,sampateny,lettre
kasike,"akasike, mahakasike, mampikasike, mifampikasike, mihamikasike, mikasike, pikasike, voakasike",K
kasikety,mikasikety,K
kasoka,"fikasokasoka, ifampikasohana, mifampikasoka, mikasokasoka",K
kasoka,"akasoka, ampifampikasohina, anakasohana, fanakasohana, fanakasoka, fifampikasohana, fikasohana, fikasoka, ikasohana, kasohina, kasokasoka, kinasoka, mahakasoka, mampanakasoka, mampifanakasoka, mampikasoka, manakasoka, mifanakasoka, mikasoka, mpanakasoka, mpikasoka, voakasoka",K
kasokasoka,mifampikasokasoka,K
katita,katitatita,K
katoke,"akatoke, mahakatoke, mampikatoke, mañakatoke, mikatoke, pikatoke, voakatoke",K
katona,"akatona, anakatonana, fanakatona, fanakatonana, fikatona, fikatonana, ikatonana, katonkatona, mahakatona, mampanakatona, mampifanakatona, mampikatona, manakatona, mifampikatona, mifanakatona, mikatona, mpanakatona, mpikatona, tafakatona, voakatona",K
katrafay,mikatrafay,K
katrafaina,mikatrafaina,K
katraka,fikatrakatraka,K
katraka,"akatraka, anakatrahana, fanakatrahana, fanakatraka, fikatrahana, fikatraka, ikatrahana, katrahana, katrakatraka, mahakatraka, manakatraka, mikatraka, mpanakatraka, mpikatraka, voakatraka",K
katrakatraka,mikatrakatraka,K
katraoka,"akatraoka, fikatraoka, katraotraoka, mahakatraoka, mikatraoka",K
katroka,katrokatroka,K
katroka,"akatroka, fikatrohana, fikatroka, ikatrohana, katrohana, mikatroka, mpikatroka, tafakatroka, voakatroka",K
katrokatroka,"anakatrokatrohana, fanakatrokatrohana, fikatrokatroka, mikatrokatroka",K
katroky,mikatroky,K
katsaka,"akatsaka, fikatsahana, fikatsaka, ikatsahana, katsahina, katsakatsaka, kinatsaka, mahakatsaka, mampikatsaka, mifampikatsaka, mikatsaka, mpikatsaka, voakatsaka",K
katsakatsaka,"fikatsakatsahana, fikatsakatsaka, ikatsakatsahana, mahakatsakatsaka, mikatsakatsaka, mpikatsakatsaka",K
katsamo,mikatsamo,K
katsanake,"mikatsañake, pikatsañake",K
katsaoka,"fikatsaoka, katsaotsaoka, mikatsaoka",K
katsapoke,"akatsapoke, fikatsapoke, mampikatsapoke, mikatsapoke",K
katseke,"akatseke, fikatseke, mampikatseke, mikatseke, pikatseke",K
katsike,mahakatsike,K
katso,mikatso,K
katso,"fikatso, katsokatso",K
katsokatso,"fikatsokatso, mikatsokatso",K
katsoke,"fikatsoha, mahakatsoke, mampañatsoke, mañatsoke, mifañatsoke, mihakatsoke, pañatsoke, pifañatsoke, voakatsoke",K
katsovoke,"fikatsovoke, mampikatsovoke, mikatsovoke",K
kaviavia,"fikaviavia, fikaviavianana, ikaviavianana, mikaviavia, mpikaviavia",K
kavina,"anakavinana, fanakavina, fanakavinana, fikavina, fikavinana, ikavinana, mahakavina, manakavina, mikavina, mpanakavina, mpikavina, voakavina",K
kavitse,"akavitse, mampikavitse, mikavitse, pikavitse, voakavitse",K
kebaka,mikebaka,K
kebakebaka,ankebakebaka,K
kebona,"anakebonana, fanakebona, fanakebonana, kebonina, kebonkebona, mahakebona, mampanakebona, mampifanakebona, manakebona, mifanakebona, mpanakebona, tsikebona, voakebona",K
kefika,kefikefika,K
kefona,"akefona, fikefona, fikefonana, ikefonana, kefonkefona, mahakefona, mampikefona, mifampikefona, mikefona, mpikefona",K
kehaka,mahakehaka,K
kehana,"fikehana, kehankehana, mahakehana, mampikehana, mifampikehana, mikehana",K
kehankehana,"fikehankehana, fikehankehanana, ikehankehanana, mikehankehana",K
kehenkehe,"fikehenkehe, mampikehenkehe, mikehenkehe",K
kehina,tsikehina,K
kehina,"akehina, fikehenana, fikehina, ikehenana, kehinkehina, mahakehina, mikehina, mpikehina, tafakehina",K
kejo,"kejokejo, mampankejo, mampifankejo, mifankejo",K
kejokejo,kinejokejo,K
kejokejo,"akejokejo, anejokejoana, fanejokejo, fanejokejoana, kejokejoina, mahakejokejo, manejokejo, mpanejokejo, voakejokejo",K
keky,mikeky,K
kekitra,kekerina,K
kele,"hakele, mahakele, mañakele, mihakele",K
kelena,hakelena,K
kely,"ikelezana, mikely",K
kely,"anakelezana, fahakelezana, fahakely, fanakelezana, fanakely, fikelezana, hakelezana, hakelezina, kelikely, mahakely, mampanakely, mampifanakely, manakely, mifanakely, mihakely, mpanakely, tsikelikely, voakely",K
kelikely,mahakelikely,K
kema,"anakemana, fanakema, fanakemana, kemaina, kemakema, manakema, voakema",K
kemakema,"akemakema, fikemakema, fikemakemana, ikemakemana, mikemakema, mpikemakema",K
kemo,"akemo, fikemo, fikemoana, ikemoana, kemokemo, mahakemo, mampikemo, mifampikemo, mikemo, mpikemo, tafakemo, voakemo",K
kenakena,"fikenakena, fikenakenana, ikenakenana, kenakenaina, manenakena, mikenakena, mpikenakena, voakenakena",K
kenda,mpanenda,K
kenda,"akenda, ampikenda, anakendana, anendana, fanakenda, fanakendana, fanendana, kendaina, kendakenda, kinenda, mahakenda, mampankenda, mampifankenda, manakenda, manenda, mifañakenda, mifankenda, mihakenda, mikenda, mpanakenda, pañakenda, voakenda",K
kendakenda,"mihakendakenda, mikendakenda",K
kendry,"fikendry, fikendry",K
kendry,"akendry, fikendrena, ikendrena, kendrena, kendrikendry, kinendry, mahakendry, mampikendry, mifampikendry, mikendry, mpikendry, voakendry",K
keninkenina,"faneninkenenana, fikeninkenenana, fikeninkenina, ikeninkenenana, keninkenenina, mikeninkenina, mpikeninkenina",K
kenje,"ampikenje, mahakenje, mampikenje, mikenje, pikenje, voakenje",K
kenona,"fikenona, kenonkenona",K
kenonkenona,"fikenonkenona, fikenonkenonana, ikenonkenonana, kenonkenonina, mahakenonkenona, mampikenonkenona, mifampikenonkenona, mikenonkenona, mpikenonkenona",K
kentrona,mikentrona,K
kentso,"akentso, fikentso, mampikentso, mangentso, pikentso",K
kentsona,"akentsona, fikentsona, fikentsonana, ikentsonana, kentsonina, kentsonkentsona, mahakentsona, mikentsona, mpikentsona",K
keo,mahakeo,K
keokeoka,fikeokeohana,K
keokeoka,"fikeokeoka, keokeohina, mahakeokeoka, maneokeoka, mikeokeoka, mpikeokeoka, voakeokeoka",K
kepakepaka,"akepakepaka, fikepakepahana, fikepakepaka, ikepakepahana, mahakepakepaka, mikapekepaka, mikepakepaka, mpikepakepaka, voakepakepaka",K
kepika,mampikepika,K
kepika,kepikepika,K
kepikepika,"akepikepika, fikepikepehana, fikepikepika, ikepikepehana, mahakepikepika, mikepikepika, mpikepikepika, voakepikepika",K
kepoka,"fikepoka, manepoka, manepokepoka, mikepokepoka",K
kepoka,"akepoka, fikepohana, ikepohana, karepoka, kepohina, kepokepoka, kinepoka, mahakepoka, mikepoka, mpikepoka, voakepoka",K
kepoke,"akepoke, mahakepoke, voakepoke",K
kepoky,mikepoky,K
kera,"kerakera, makera, mikera, tsikera",K
kerakera,"anerakerana, fanerakera, fanerakerana, kerakeraina, makerakera, manerakera, mpanerakera, voakerakera",K
kerotra,mikerotra,K
kesokesoka,"manesokesoka, mikesokesoka",K
kesona,"fika, fikesona, fikesonana, ikesonana, kesonkesona, mahakesona, mikesona, mpikesona",K
kesonkesona,mikesonkesona,K
ketaketa,"fiketaketa, fiketaketana, iketaketana, mahaketaketa, miketaketa, mpiketaketa",K
ketoka,"fiketohana, fiketoka",K
ketoka,"aketoka, anetohana, fanetohana, fanetoka, karetoka, ketohina, ketoketoka, kinetoka, mahaketoka, mampanketoka, mampifanketoka, manaketoka, manetoka, mifanketoka, miketoka, mpanetoka, voaketoka",K
ketoke,"mampiketoke, miketoke, piketoke, voaketoke",K
ketoketoka,manetoketoka,K
ketraka,"fampanaketraka, fiketrahana, fiketrahana, mampanaketraka",K
ketraka,"aketraka, anaketrahana, fanaketrahana, fanaketraka, fiketraka, iketrahana, ketrahina, ketraketraka, kinetraka, mahaketraka, mampiketraka, manaketraka, miketraka, mpanaketraka, mpiketraka, soketraka, voaketraka",K
ketraketraka,fahaketraketrahana,K
ketrika,"fiketrehana, fiketrika, iketrehana, ketrehina, ketriketrika, kinetrika, mahaketrika, mampiketrika, mifampiketrika, miketrika, mpiketrika, voaketrika",K
ketriketrika,mpiketriketrika,K
ketriketrika,"fiketriketrehana, fiketriketrika, miketriketrika",K
ketrina,haketrehana,K
ketrina,"fahaketrehana, fahaketrenana, fahaketrina, haketrenana, haketrina",K
ketroky,ketrohy,K
ketrona,"aketrona, anaketronana, fanaketrona, fanaketronana, fiketrona, fiketronana, iketronana, ketronketrona, mahaketrona, mampanaketrona, mampifanaketrona, mampiketrona, manaketrona, mifanaketrona, miketrona, mpanaketrona, mpiketrona, tafaketrona, voaketrona",K
ketsa,"ampañetsa, fampañetsa, ketsaketsa, ketsaketsa, mampañetsa, pañetsa",K
ketsa,"aketsa, anetsana, fanetsa, fanetsana, ketsaina, ketsana, kinetsa, mahaketsa, manetsa, mpanetsa, voaketsa",K
ketsake,"aketsake, mahaketsake, mihaketsake",K
ketsaketsa,manetsaketsa,K
ketsaketsa,ketsaketsaina,K
ketseke,"aketseke, mahaketseke, mampiketseke, miketseke, piketseke, voaketseke",K
ketsika,"karetsika, ketsiketsika",K
ketso,"mampiketso, mifampiketso",K
ketso,ketsoketso,K
ketsoketso,"fiketsoketso, fiketsoketsoana, iketsoketsoana, mahaketsoketso, miketsoketso, mpiketsoketso",K
kevoka,"fahakevohana, fahakevoka, fikevohana, fikevoka, hakevohana, hakevoka, ikevohana, kanevoka, kevohina, kevokevoka, mahakevoka, mikevoka, mpikevoka",K
kezaka,"akezaka, anakezahana, fanakezahana, fanakezaka, fikezahana, fikezaka, ikezahana, kezahina, kezakezaka, mahakezaka, mampikezaka, manakezaka, mifampikezaka, mikezaka, mpanakezaka, mpikezaka, tafakezaka, voakezaka",K
kiaka,akiaka,K
kiaka,"anakiahana, fanakiahana, fanakiaka, fikiahana, ikiakiahana, kiahina, kiakiaka, manakiaka, mpanakiaka, voakiaka",K
kiaka,"fikiahana, fikiaka, ikiahana, mahakiaka, makiaka, mampanakiaka, mampifanakiaka, mifanakiaka, mikiaka, mikiaka, mpikiaka",K
kiakiaka,"akiakiaka, fikiakiahana, fikiakiaka, kiakiahina, mikiakiaka",K
kiana,makiankiana,K
kiana,"anakianana, fanakiana, fanakianana, kianina, kiankiana, manakiana, mpanakiana, voakiana",K
kiana,"hakiana, makiana",K
kiany,"fanakiany, kiankiany, mahakiany, mampanakiany, mampifanakiany, manakiany, mifanakiany, voakiany",K
kianja,mikianja,K
kiankiana,kiankianina,K
kibo,"fanakibo, kibotaina",K
kibo,"akibo, anakiboana, fanakiboana, faniboana, kiboina, kiboina, kibokibo, kinibo, mahakibo, mampanakibo, mampifanakibo, manakibo, manibo, mifanakibo, mpanakibo, voakibo",K
kiboka,"takiboka, takiboka",K
kibokibo,"anakibokiboana, kibokiboina, manakibokibo",K
kibontana,mikibontana,K
kiboribory,manakiboribory,K
kiboribory,kiboriborina,K
kidanodanoka,"fikidanodanohana, ikidanodanohana, mikidanodanoka",K
kidiky,mihakidiky,K
kidingy,"akidingy, kidingidingy, tafakidingy, voakidingy",K
kidingidingy,"anakidingidingiana, fanakidingidingy, fanakidingidingiana, fikidingidingy, fikidingidingiana, ikidingidingiana, manakidingidingy, mikidingidingy, mpanakidingidingy, mpikidingidingy",K
kidona,"mikidona, mikidona",K
kidona,fikidona,K
kidondona,"fikidondona, fikidondonana, ikidondonana, mikidondona",K
kifaka,"kifakifaka, manakifaka",K
kifakifa,"kifakifahina, kifakifaina, mampànkifakifa, mampifankifakifa, mifankifakifa",K
kifakifaka,manakifakifaka,K
kifakifaka,"akifakifaka, anifakifahana, fanifakifahana, fanifakifaka, fikifakifahana, fikifakifaka, ikifakifahana, mahakifakifaka, manifakifaka, mikifakifaka, mpanifakifaka, mpikifakifaka, voakifakifaka",K
kifika,"akifika, anakifihana, fanakifihana, fanakifika, fikifihana, fikifika, ikifihana, kifikifika, mampanakifika, manakifika, mifanakifika, mikifika, mpanakifika, mpikifika, voakifika",K
kifikifika,akifikifika,K
kifina,"akifina, fikifina, fikifinana, ikifinana, kifinina, kifinkifina, mahakifina, mikifina, mpikifina, voakifina",K
kihaihay,"fikihaihay, fikihaihaizana, ikihaihaizana, mahakihaihay, mikihaihay, mpikihaihay",K
kiho,"akiho, anakihoana, fanakiho, fanakihoana, kihoina, kihokiho, kiniho, mahakiho, mampanakiho, manakiho, maniho, mifanakiho, mikiho, mpanakiho, voakiho",K
kija,"akija, ikijana, mahakija, voakija",K
kija,"fikija, fikijana, mikija",K
kija,mpikija,K
kike,"mahakike, mikike, pikike, voakike",K
kiky,"hikiky, mampikiky, mifampikiky, pifampikiky, pikiky, takiky",K
kiky,"akiky, anakikisana, fanakiky, fanakikisana, fikiky, fikikisana, ikikisana, kikisana, kiniky, mahakiky, makiky, mampifanakiky, manakiky, mifanakiky, mikiky, mpanakiky, mpikiky, voakiky",K
kikikiky,"fikikikiana, fikikikiky, fikikikikiana, ikikikiana, ikikikikiana, mahakikikiky, mikikikiky, mpikikikiky, tsikikikiky",K
kikitra,"akikitra, fikikirana, fikikitra, ikikirana, kikikikitra, kikirina, mahakikitra, makikitra, mikikitra, mpikikitra, tafakikitra, voakikitra",K
kila,"anakilana, fanakila, fanakilana, kilaina, kinila, mahakila, manakila, mpanakila, voakila",K
kilakila,"anilakilana, fanilakila, fanilakilana, kilakilaina, kinilakila, mahakilakila, mampankilakila, mampifankilakila, manilakila, mifankilakila, mpanilakila, voakilakila",K
kilambolambo,kilambolamboina,K
kilema,"anakilemana, anilemana, fanakilema, fanakilemana, fanilema, fanilemana, kilemaina, manakilema, manilema, mpanakilema, mpanilema",K
kilio,kiliolio,K
kiliolio,"akiliolio, fikiliolio, fikilioliovana, ikilioliovana, mahakiliolio, mikiliolio, mpikiliolio",K
kimbake,"mahakimbake, mañimbake",K
kimbalimbaly,"fikimbalimbaly, mikimbalimbaly",K
kimbato,"fikimbato, mahakimbato, mikimbato, mpikimbato",K
kimoka,"fikimoka, kimokimoka, mahakimoka, mikimoka, mpikimoka, tafakimoka, voakimoka",K
kimokimo,mikimokimo,K
kimokimoka,"fikimokimohana, fikimokimoka, ikimokimohana, mikimokimoka, mpikimokimoka, tafakimokimoka, voakimokimoka",K
kimonkimona,"fikimonkimonana, ikimonkimonana, kimonkimonina",K
kimpa,"akimpa, mañimpa, voakimpa",K
kimpy,"akimpy, anakimpiana, fanakimpy, fanakimpiana, fikimpy, fikimpiana, ikimpiana, kimpikimpy, mahakimpy, mampanakimpy, mampifanakimpy, mampikimpy, manakimpy, mifanakimpy, mikimpy, mpanakimpy, mpikimpy, voakimpy",K
kimpikimpy,akimpikimpy,K
kinga,"fahakinga, fahakingana, hakinga, hakingana, kingakinga, mahakinga",K
kingakinga,mahakingakinga,K
kinia,"fikinianiavana, kiniania",K
kiniania,"fikiniania, ikinianiavana, kinianiavina, mahakiniania, mikiniania, mpikiniania, tafakiniania",K
kinifinify,mikinifinify,K
kininike,"akininike, fikininike, mampikininike, mihamikininike, mikininike",K
kinioky,"mikinioky, pindikinioky",K
kino,"mahakino, mikino, pikino, voakino",K
kinte,"mahakinte, mihakinte, mikinte",K
kinto,kintokinto,K
kintona,"fikintona, fikintonana, ikintonana, kintokintona, mahakintona, mikintona, mpikintona",K
kiokioke,mikiokioke,K
kipa,kipakipa,K
kipaka,"akipaka, anakipahana, fanakipahana, fanakipaka, fikipahana, fikipaka, ikipahana, kipakipaka, mahakipaka, mampifanakipaka, manakipaka, mifanakipaka, mikipaka, mpanakipaka, tafakipaka, voakipaka",K
kipakipa,fanipakipana,K
kipakipa,"akipakipa, fanipakipa, mahakipakipa, manipakipa, mpanipakipa",K
kipakipaka,"anipakipahana, fanipakipahana",K
kipakipaka,"akipakipaka, fanakipakipaka, fanipakipaka, mahakipakipaka, mampanakipaka, manakipakipaka, manipakipaka, mpanakipakipaka, mpanipakipaka",K
kipika,"akipika, anakipihana, fanakipihana, fanakipika, fikipihana, fikipika, ikipihana, kipikipika, mahakipika, mampanakipika, mampifanakipika, manakipika, mifanakipika, mikipika, mpanakipika, mpikipika, tafakipika, voakipika",K
kipikipy,"akipikipy, anipikipiana, fanipikipy, fanipikipiana, mahakipikipy, manipikipy, mpanipikipy, voakipikipy",K
kipily,"akipily, anakipilizana, fanakipily, fanakipilizana, fikipily, fikipilizana, ikipilizana, kipilipily, kipilizana, kipipily, mahakipily, mampanakipily, manakipily, mifanakipily, mikipily, mpanakipily, tafakipily, voakipily",K
kipilipily,"akipilipily, mikipilipily",K
kira,"fanakira, fikirakira, kirakira, mahakirakira, mikira, mikira, mpanirakira",K
kira,"anakirana, fanakirana, fikira, fikirana, ikirana, kiraina, mahakira, manakira, mpanakira, mpikira, voakira",K
kirakira,fanirakirana,K
kirakira,"anirakirana, fanirakira, kinirakira, kirakiraina, manirakira, mikirakira, voakirakira",K
kiramborambo,"akiramborambo, anakiramboramboana, fanakiramborambo, fanakiramboramboana, fikiramborambo, fikiramboramboana, ikiramboramboana, manakiramborambo, mikiramborambo, mpanakiramborambo, mpikiramborambo, tafakiramborambo",K
kiraro,"akiraro, ampikiraro, anakiraroana, fanakiraro, fanakiraroana, fikiraro, fikiraroana, ikiraroana, kiraroana, kiraroraro, mahakiraro, mampikiraro, manakiraro, mikiraro, mpanakiraro, mpikiraro, pikiraro, voakiraro",K
kiraviravy,fanakiraviravy,K
kiraviravy,"akiraviravy, anakiraviravezana, fanakiraviravezana, fikiraviravezana, fikiraviravy, ikiraviravazana, ikiraviravezana, kiraviravezana, mahakiraviravy, manakiraviravy, mikiraviravy, mpanakiraviravy, tafakiraviravy, voakiraviravy",K
kirazorazo,"akirazorazo, anakirazorazoana, fanakirazorazo, fanakirazorazoana, fikirazorazo, fikirazorazoana, ikirazorazoana, mahakirazorazo, manakirazorazo, mikirazorazo, mpanakirazorazo, mpikirazorazo, tafakirazorazo, voakirazorazo",K
kiry,"mikiry, mikiry",K
kiry,"fikiry, fikirizana, ikirizana, kirìna, mahakiry, mampikiry, mifampikiry, mpikiry",K
kiribiby,"fikiribiby, fikiribibiana, ikiribibiana, mahakiribiby, mampikiribiby, mifampikiribiby, mikiribiby, mpikiribiby",K
kirikiry,"fanakirikirizana, fanirikirizana, manirikiry, manirikiry",K
kirikiry,"anakirikiriana, anirikiriana, fanakirikiry, fanakirikiriana, fanirikiry, fanirikiriana, fikirikiry, fikirikiriana, kirikirina, mahakirikiry, mahakirikirina, mampankirikiry, mampifankirikiry, manakirikiry, mifankirikiry, mikirikiry, mpanakirikiry, mpanirikiry, mpikirikiry",K
kirìna,mahakirìna,K
kirindro,"akirindro, fikirindro, fikirindroana, ikirindroana, mikirindro, mpikirindro, tafakirindro",K
kiririoka,"akiririoka, anakiririohana, fanakiririohana, fanakiririoka, fikiririohana, fikiririoka, ikiririohana, kiririohina, mahakiririoka, mampanakiririoka, mampifanakiririoka, manakiririoka, mifanakiririoka, mikiririoka, mpanakiririoka, mpikiririoka, voakiririoka",K
kirotra,mikirotra,K
kirozaroza,mikirozaroza,K
kisaka,"fikisahana, fikisahana",K
kisaka,"akisaka, anakisahana, fanakisahana, fanakisaka, fikisaka, ikisahana, kisakisaka, mahakisaka, mampanakisaka, mampifanakisaka, manakisaka, mifanakisaka, mikisaka, mpanakisaka, mpikisaka, tafakisaka, voakisaka",K
kisake,"akisake, mahakisake, mampañakisake, mampikisake, mañakisake, mikisake, pañakisake, pikisake, voakisake",K
kisina,kisinkisina,K
kisina,"fikisina, fikisinana, ikisinana, kisinina, mahakisina, mikisina, mpikisina",K
kisinkisina,"ikisinkisinana, mikisinkisina",K
kisitse,"mampañisitse, mañisitse, mifañisitse, pañisitse, voakisitse",K
kiso,"kisokiso, kisokisoina",K
kisoka,fikisoka,K
kisoka,"akisoka, fikisohana, ikisohana, kinisoka, kisohina, mahakisoka, mikisoka, mpikisoka, voakisoka",K
kisokiso,mahakisokiso,K
kisokiso,"fikisokiso, fikisokisoana, ikisokisoana, mikisokiso, mpikisokiso",K
kisolosolo,"anakisolosoloana, fanakisolosolo, fanakisolosoloana, fikisolosolo, fikisolosoloana, ikisolosoloana, kisolosoloina, mahakisolosolo, manakisolosolo, mikisolosolo, mpanakisolosolo, mpikisolosolo, voakisolosolo",K
kita,makita,K
kitakita,"manitakita, manitakita",K
kitakita,"akitakita, anakitakitana, anitakitana, fanakitakita, fanakitakitana, fanitakita, fanitakitana, fikitakita, fikitakitana, ikitakitana, kinitakita, kitakitaina, mampankitakita, mampifankitakita, mampikitakita, manakitakita, mifampikitakita, mifankitakita, mikitakita, mpanakitakita, mpanitakita, mpikitakita, voakitakita",K
kitakitaka,"akitakitaka, anitakitahana, fanakitakitahana, fanakitakitaka, fanitakitahana, fikitakitahana, fikitakitaka, ikitakitahana, kitakitahina, manakitakitaka, manitakitaka, mikitakitaka, mpanakitakitaka, mpanitakitaka, mpikitakitaka, voakitakitaka",K
kitambe,"mampikitambe, mikitambe, pikitambe",K
kitamby,"akitamby, anakitambiana, fanakitamby, fanakitambiana, fikitamby, fikitambiana, hakitamby, ikitambiana, kitambina, mahakitamby, manakitamby, mikitamby, mpanakitamby, mpikitamby, voakitamby",K
kitika,"fikitihana, fikitika, ikitihana, kijitika, kiritika, kitihina, kitikitika, mampankitika, mampifankitika, mifankitika, mikitika, mpikitika, voakitika",K
kitika,"akitika, mahakitika",K
kitike,"akitike, mahakitike, mampikitike, mifampikitike, mihamikitike, mikitike, pikitike, voakitike",K
kitikitika,kinitikitika,K
kitikitika,"akitikitika, anitikitihana, fanitikitihana, fanitikitika, fikitikitihana, kitikitihina, mahakitikitika, manitikitika",K
kito,mikito,K
kitoantoana,"fikitoantoana, mikitoantoana",K
kitoatoa,"akitoatoa, fikitoatoa, fikitoatoavana, ikitoatoavana, kitoatoavina, mikitoatoa, mpikitoatoa, voakitoatoa",K
kitoina,"kitokitoina, mahakitoina",K
kitoka,"kitokitoka, mikitoka",K
kitokitoina,mahakitokitoina,K
kitokitoka,"fikitokitohana, fikitokitoka, ikitokitohana, kinitokitoka, kitokitohina, mahakitokitoka, mikitokitoka, mpikitokitoka, voakitokitoka",K
kitokitona,"fikitokitona, fikitokitonana, ikitokitonana, mahakitokitona, mikitokitona",K
kitongatonga,"fikitongatonga, mikitongatonga",K
kitoza,"anakitozana, fanakitoza, fanakitozana, kitozaina, kitozatoza, manakitoza, mpanakitoza, voakitoza",K
kitra,"mikitra, mikitra",K
